filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.063.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.064.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.065.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.066.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.067.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.068.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.069.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.070.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.071.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.072.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.073.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.074.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.075.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.076.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.077.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.078.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.079.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.080.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.081.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.082.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.083.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.084.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.085.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.086.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.087.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.088.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.089.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.090.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.091.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.091.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.092.fits,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.092.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.093.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.094.fits.gz,HII 1883,HII 1883,
